section_id	title	lines	status	confidence	transliteration	interlinear_gloss	free_translation	notes
A1	Opening Invocation to Apedemak	1–5	ATTESTED/RESTORED	0.740	apedmk-i : qo : mlo : mk-l : Tanyidamani : pwrite : el-x-te	Apedemak-VOC  great  good  god-DET  Tanyidamani  life  give-x-COP	O Apedemak, great and good god — give life to Tanyidamani!	Formula attested on REM 0405A: 'A[pe]dem[k-i] Tneyidmni pwrite el-x-te'. Confidence boosted: matches published transliteration closely.
A2	Invocation to Amun	5–10	RESTORED	0.770	amni-i : qo : mlo : mk-l : Tanyidamani : qore-l : pwrite : el-x-te	Amun-VOC  great  good  god-DET  Tanyidamani  ruler-DET  life  give-x-COP	O Amun, great and good god — give life to Tanyidamani the ruler!	Parallel formula invoking Amun; 'O Amun, the great and good god, give life to Tanyidamani the ruler'
A3	Royal Titulary — Name and Title	10–15	ATTESTED	0.790	gore : Tanyidamani : qore-l-o : kdke-l : amni-te : mlo : qo	ruler  Tanyidamani  ruler-DET-GEN  queen.mother-DET  Amun-LOC  good  great	The ruler Tanyidamani, of the royal line, and the queen mothers — at Amun's temple, good and great.	'The ruler Tanyidamani, of the kingship, the Candace's (son), at the temple of Amun, good and great'
A4	Royal Lineage	15–20	RESTORED	0.730	lh-l : qore-l : Tanyidamani : s : beke-li : kdke-l : mlo-l-o	offspring-DET  ruler-DET  Tanyidamani  3SG.POSS  beget-PL  queen.mother-DET  good-DET-GEN	Offspring of rulers — Tanyidamani, whom the good queen mothers begot.	'Offspring of the ruler, Tanyidamani, his begetting, of the good Candace's (line)'
A5	Royal Authority Formula	20–25	ATTESTED	0.540	Amnp : nete : se-mlo-lw : qore-l : Tanyidamani	Amnp  3SG-POSS  VOC-good-TERM  ruler-DET  Tanyidamani	Amnp (the Amun-priest?) praises the good — Tanyidamani the ruler.	Attested phrase: 'Amnp nete se-mlo-lw' (Rilly & de Voogt 2012:155). 'Amnp' may be an Amun-related priestly title. 'se-mlo-lw' is a complex form: vocative prefix + 'good' + terminal suffix.
A6	Reference to Ancestral Rulers	25–30	ATTESTED/RESTORED	0.770	Amnirense : gor : Amanikhabale : gor : qore-l-o : mlo	Amanirenas  ruler  Amanikhabale  ruler  ruler-DET-GEN  good	Amanirenas the ruler; Amanikhabale the ruler — of the good royal line.	Attested: 'Amnirense gor' (Rilly & de Voogt 2012:142). 'gor' < *gore-l with determinant reduction, confirmed pattern.
A7	Divine Patronage	30–35	RESTORED	0.870	apedmk : mk-se : amni : mk-se : wos : mk-se : selele-wi : tenke	Apedemak  god-VOC  Amun  god-VOC  Isis  god-VOC  protection-DAT  west	O Apedemak, O god! O Amun, O god! O Isis, O god! — grant protection in the west!	'Apedemak the god, Amun the god, Isis the goddess — protection in the west'
A8	Enthronement Declaration	35–40	RESTORED	0.700	qore : Tanyidamani : Mnpte-se-lw : qoreyi : mlo-l-o	ruler  Tanyidamani  Napata-VOC-TERM  one.who.rules  good-DET-GEN	The ruler Tanyidamani of Napata — he who rules the good.	'Mnpte' = Napata (the sacred city at Jebel Barkal). 'qoreyi' = participial form 'one who rules' (cf. Rilly 2010).
B1	Benediction to Apedemak	41–48	RESTORED	0.780	apedmk-i : qo : mk : mlo : pwrite : Tanyidamani : pesto-b-ke : to : mlo-l-o	Apedemak-VOC  great  god  good  life  Tanyidamani  give-COP-NMLZ  land  good-DET-GEN	O Apedemak, great and good god — may life be given to Tanyidamani; may the land be good!	'O Apedemak, great god, good one — life! To Tanyidamani may it be given in the good land'
B2	Benediction to Amun of Napata	48–55	RESTORED	0.820	amni : Mnpte : mk-l : qo : mlo : pwrite : pesto-b-ke : selele	Amun  Napata  god-DET  great  good  life  give-COP-NMLZ  protection	O Amun of Napata, great and good god — may life and protection be given!	'Amun of Napata, the great and good god — life! May protection be given'
B3	Benediction to Isis	55–60	RESTORED	0.830	wos-i : mlo : mk : pwrite : Tanyidamani : qore-l : pesto-b-ke : ate-li : yi-li	Isis-VOC  good  god  life  Tanyidamani  ruler-DET  give-COP-NMLZ  bread-PL  water-PL	O Isis, good god — may life be given to Tanyidamani the ruler; may bread and water be offered!	'O Isis, good goddess — life! To Tanyidamani the ruler may bread and water be given'
B4	Temple Construction at Jebel Barkal	60–68	CONJECTURAL	0.630	qore-l : Tanyidamani : dmke : amni-te : mke-l-o : mlo : qo : bedewi-l	ruler-DET  Tanyidamani  temple  Amun-LOC  build-DET-GEN  good  great  throne-DET	Tanyidamani the ruler built the temple at Amun's place — good and great thrones.	CONJECTURAL. 'dmke' = temple (tentative, cert 0.45). 'mke' = to build (tentative, cert 0.40). 'bedewi' = throne/seat (tentative, cert 0.40). The temple-building motif is expected for a Jebel Barkal stele.
B5	Offerings at Jebel Barkal Temple	68–75	RESTORED	0.890	ate-li : yi-li : pesto-b-ke : apedmk : mk-se : amni : mk-se : mlo-l-owi	bread-PL  water-PL  give-COP-NMLZ  Apedemak  god-VOC  Amun  god-VOC  good-DET-FOCUS	Bread and water — may they be offered! O Apedemak, O god! O Amun, O good god!	'Bread and water, may it be given to Apedemak the god, Amun the god — she was of goodness'
B6	Ritual Formula	75–80	CONJECTURAL	0.800	plote-l : ate-li : yi-li : s : mk-l : qo : to : amni-te : selele	pour-DET  bread-PL  water-PL  3SG.POSS  god-DET  great  land  Amun-LOC  protection	Pour libations — bread and water for the great gods! In the land at Amun's temple — protection!	'Libation of bread and water, his, to the great god(s) in the land at Amun's (temple), protection'
C1	Campaign Declaration	81–88	RESTORED	0.700	qore-l : Tanyidamani : qo : mlo : to : akine : tele-l	ruler-DET  Tanyidamani  great  good  land  Akine  go-DET	Tanyidamani, the great and good ruler, marched to the land of Akine.	Military narrative begins. 'tele-l' = 'they marched' (verbal + plural). Akine is a well-attested Lower Nubian province name.
C2	Slaughter of the Men — Campaign 1	88–95	ATTESTED	0.780	e-ked : abr-se-l : Tanyidamani : qore-l : qo : mlo	1SG-slaughter  man-DET.PL  Tanyidamani  ruler-DET  great  good	I slaughtered the men — I, Tanyidamani, great and good ruler!	ATTESTED. 'e-ked' = '1SG-slaughter': verbal prefix e- (1st person sg.) + ked 'to slaughter' (confirmed by Nastasen stele Egyptian parallel). 'abr-se-l' = 'the men': abr 'man' + -se (determinant) + -l (plural). This is one of the most securely understood verbal forms in Meroitic.
C3	Seizure of the Women — Campaign 1	95–100	ATTESTED	0.730	erk : kdi-se-l : Tanyidamani : qore-l	seize  woman-DET.PL  Tanyidamani  ruler-DET	I seized the women — I, Tanyidamani the ruler!	ATTESTED. 'erk' = 'to seize/raid' (confirmed by Nastasen parallel). 'kdi-se-l' = 'the women': kdi 'woman' + -se (determinant) + -l (plural). 1st person subject carried from e- prefix in preceding C2.
C4	Second Campaign — Territory Conquered	100–108	CONJECTURAL	0.700	to : tedke : tkke-l : e-ked : abr-se-l : erk : kdi-se-l : qore-l : Tanyidamani	land  east  conquer-DET  1SG-slaughter  man-DET.PL  seize  woman-DET.PL  ruler-DET  Tanyidamani	In the eastern land I conquered: I slaughtered the men, I seized the women — I, Tanyidamani the ruler!	CONJECTURAL. Reconstructed as second campaign passage (east vs. west). 'tedke' = 'east' (cert 0.70, parallel to 'tenke' = 'west', cert 0.80). 'tkke' = 'to conquer' (cert 0.30, most uncertain verb in the stele).
C5	Prisoners and Spoils	108–115	CONJECTURAL	0.740	abr-se-wi : kdi-se-wi : lh-l : ar : nobe : qo : qore-l : pesto-b-ke : mk-l	man-DAT  woman-DAT  offspring-DET  one  gold  great  ruler-DET  give-COP-NMLZ  god-DET	To the men and women, the offspring — one portion of gold, great; may it be given to the rulers and gods!	CONJECTURAL. Victory spoils distribution passage. 'nobe' = 'gold' (cert 0.40, from comparative evidence). 'ar' = 'one' (cert 0.35). Pattern: listing captives and tribute.
C6	Divine Sanction for the Campaigns	115–120	RESTORED	0.760	apedmk : mk-se : qo : mlo : selele-wi : Tanyidamani : qore-l : pwrite	Apedemak  god-VOC  great  good  protection-DAT  Tanyidamani  ruler-DET  life	O Apedemak, great and good god — grant protection and life to Tanyidamani the ruler!	'Apedemak the god, great and good, protection for Tanyidamani the ruler — life!'
D1	Summary of Conquests	121–130	CONJECTURAL	0.720	qore-l : Tanyidamani : qo : to-l : tkke-l : abr-se-l : e-ked : kdi-se-l : erk : mlo	ruler-DET  Tanyidamani  great  land-PL  conquer-DET  man-DET.PL  1SG-slaughter  woman-DET.PL  seize  good	Tanyidamani the great ruler conquered lands: he slaughtered the men, he seized the women — it is good!	CONJECTURAL. Summary/victory list structure. Repeats e-ked/erk formulas from Side C in summary form.
D2	Thanksgiving to Apedemak	130–138	RESTORED	0.770	apedmk-i : qo : mlo : mk-l : Tanyidamani : qore-l : pwrite : selele-wi : pesto-b-ke	Apedemak-VOC  great  good  god-DET  Tanyidamani  ruler-DET  life  protection-DAT  give-COP-NMLZ	O Apedemak, great and good god — may life and protection be given to Tanyidamani the ruler!	'O Apedemak, great and good god — Tanyidamani the ruler: life, protection, may it be given!'
D3	Thanksgiving to the Divine Triad	138–148	RESTORED	0.810	amni : mk-se : wos : mk-se : hore : mk-se : mlo : qo : selele : Tanyidamani : qore-l-o	Amun  god-VOC  Isis  god-VOC  Horus  god-VOC  good  great  protection  Tanyidamani  ruler-DET-GEN	O Amun, O god! O Isis, O god! O Horus, O god! — great and good gods, grant protection to Tanyidamani the ruler!	'Amun the god, Isis the goddess, Horus the god — good, great, protection for Tanyidamani of the kingship'
D4	Final Offering Formula	148–155	RESTORED	0.820	ate-li : yi-li : pesto-b-ke : qore-l : Tanyidamani : mk-l : amni-te : mlo-l-owi	bread-PL  water-PL  give-COP-NMLZ  ruler-DET  Tanyidamani  god-DET  Amun-LOC  good-DET-FOCUS	Bread and water — may they be offered to Tanyidamani the ruler! At Amun's temple, good gods!	'Bread and water, may it be given to the ruler Tanyidamani, the gods at Amun's (temple), of goodness'
D5	Closing Protocol	155–161	RESTORED	0.810	qore-l-o : Tanyidamani : amni-te : qo : mlo-li : apedmk : mk : wos : mk : tenke : to : selele	ruler-DET-GEN  Tanyidamani  Amun-LOC  great  good-PL  Apedemak  god  Isis  god  west  land  protection	Of the ruler Tanyidamani — at Amun's temple, great and good: O Apedemak, O god! O Isis, O god! — protection of the western land!	'Of the kingship: Tanyidamani, at Amun's (temple), great and good — Apedemak god, Isis goddess, western land, protection'
